new-nginx-pod-ee3f0617-6966-4204-801a-e50675afa0cf,9.070185630
new-nginx-pod-e4c07266-cdb1-47be-8e7c-5b4f27562d2d,9.117093507
new-nginx-pod-2a055861-909f-496a-9696-4930b3d1af17,12.539403297
new-nginx-pod-dc8bd2ef-7cac-4a1b-951c-c74d9b0d6988,10.353107666
new-nginx-pod-a2075d2c-3d6e-44b6-970a-062da19593b9,13.507525972
new-nginx-pod-01f8e5d2-2819-4d3c-96ce-535cc6b92842,10.240716136
new-nginx-pod-5487a565-e26f-4b97-ab19-6c729d1de47f,11.287007226
new-nginx-pod-ca53a448-de2f-4a68-be49-9603a3520b07,10.224854388
new-nginx-pod-445aa430-9543-4479-b31f-2c54b215dcf9,14.668825563
new-nginx-pod-e100a65f-4dd8-4839-b762-6c353f55f7ba,9.029692513
new-nginx-pod-51d38779-b9ce-474c-b023-ba5e3d057b4d,10.179406279
new-nginx-pod-6bec9f0e-2312-4f14-8290-3e267ac9dc1b,11.385235019
new-nginx-pod-ebfa09b9-cc45-41f9-aecc-596e8a381f16,9.085592819
new-nginx-pod-8a0d8591-f13a-4ba3-9b8a-2ca57f7bdd80,9.114051844
new-nginx-pod-d283ca0d-a06b-4add-a45a-5da8aedd8176,10.220558922
new-nginx-pod-5e42d0ab-6edb-41d7-b9ec-c97008af8e38,20.596150908
new-nginx-pod-7b29c5f8-4fec-4ac4-a167-2b78238406ee,10.553555503
new-nginx-pod-57fa0051-ed2d-4896-947b-b00e9847b687,10.157399644
new-nginx-pod-0553fbd8-9dbf-4591-bfa7-9cf4aa12e2db,14.779492782
new-nginx-pod-ff2f8af8-77b0-415d-b403-58be7a82423c,12.486173972
